2026-09-25 01:05:02.906 | DEBUG    | ailoveshen.infrastructure.events:subscribe:98 - Handler subscribed to HouseDesignedEvent
2026-09-25 01:05:28.576 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:28.576 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [3] built() (remaining 115) -> dig oak_log at 405,72,-268 (conf 0.54): ok dug oak_log, picked up 1 items (9.1s)
2026-09-25 01:05:29.260 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 506ms, input=1365 -> dig oak_log at 408,72,-261 (confidence 0.34)
2026-09-25 01:05:37.518 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:37.518 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [4] built() (remaining 114) -> dig oak_log at 408,72,-261 (conf 0.34): ok dug oak_log, picked up 1 items (8.1s)
2026-09-25 01:05:38.217 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 543ms, input=1374 -> dig oak_log at 411,72,-257 (confidence 0.63)
2026-09-25 01:05:51.881 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:51.881 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [5] built() (remaining 113) -> dig oak_log at 411,72,-257 (conf 0.63): ok dug oak_log, picked up 1 items (13.5s)
2026-09-25 01:05:52.555 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 519ms, input=1390 -> dig oak_log at 417,72,-261 (confidence 0.42)
2026-09-25 01:05:59.969 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:05:59.969 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [6] built() (remaining 112) -> dig oak_log at 417,72,-261 (conf 0.42): ok dug oak_log, picked up 1 items (7.2s)
2026-09-25 01:06:00.772 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 609ms, input=1388 -> dig oak_log at 420,72,-262 (confidence 0.52)
2026-09-25 01:06:04.686 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:04.686 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [7] built() (remaining 111) -> dig oak_log at 420,72,-262 (conf 0.52): ok dug oak_log, picked up 1 items (3.7s)
2026-09-25 01:06:05.122 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 244ms, input=1384 -> dig oak_log at 417,71,-261 (confidence 0.35)
2026-09-25 01:06:09.538 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:09.538 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [8] built() (remaining 110) -> dig oak_log at 417,71,-261 (conf 0.35): ok dug oak_log, picked up 1 items (4.2s)
2026-09-25 01:06:09.996 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 288ms, input=1383 -> dig oak_log at 415,72,-265 (confidence 0.25)
2026-09-25 01:06:16.403 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:16.403 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [9] built() (remaining 109) -> dig oak_log at 415,72,-265 (conf 0.25): ok dug oak_log, picked up 1 items (6.2s)
2026-09-25 01:06:17.188 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 605ms, input=1382 -> dig birch_log at 419,72,-265 (confidence 0.37)
2026-09-25 01:06:27.644 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:27.644 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [10] built() (remaining 108) -> dig birch_log at 419,72,-265 (conf 0.37): ok dug birch_log, picked up 1 items (10.3s)
2026-09-25 01:06:28.405 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 574ms, input=1393 -> dig oak_log at 425,71,-264 (confidence 0.52)
2026-09-25 01:06:37.464 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:37.464 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [11] built() (remaining 107) -> dig oak_log at 425,71,-264 (conf 0.52): ok dug oak_log, picked up 1 items (8.9s)
2026-09-25 01:06:38.179 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 530ms, input=1400 -> dig oak_log at 428,71,-262 (confidence 0.39)
2026-09-25 01:06:47.876 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:06:47.876 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [12] built() (remaining 106) -> dig oak_log at 428,71,-262 (conf 0.39): ok dug oak_log, picked up 1 items (9.5s)
2026-09-25 01:06:48.627 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 565ms, input=1398 -> dig oak_log at 433,69,-258 (confidence 0.63)
2026-09-25 01:07:01.524 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:01.524 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [13] built() (remaining 105) -> dig oak_log at 433,69,-258 (conf 0.63): ok dug oak_log, picked up 1 items (12.7s)
2026-09-25 01:07:02.281 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 574ms, input=1272 -> craft birch_planks x1 (confidence 0.53)
2026-09-25 01:07:02.473 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:02.473 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [14] built() (remaining 104) -> craft birch_planks x1 (conf 0.53): ok crafted 4 birch_planks (0.0s)
2026-09-25 01:07:02.852 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 237ms, input=1301 -> craft crafting_table x1 (confidence 0.60)
2026-09-25 01:07:03.000 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:03.000 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [15] built() (remaining 103) -> craft crafting_table x1 (conf 0.60): ok crafted 1 crafting_table (0.0s)
2026-09-25 01:07:03.352 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 214ms, input=1195 -> place crafting_table nearby (confidence 0.42)
2026-09-25 01:07:03.875 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:03.875 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [16] built() (remaining 102) -> place crafting_table nearby (conf 0.42): ok placed crafting_table at (431, 69, -257) (0.4s)
2026-09-25 01:07:04.244 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 224ms, input=1131 -> dig oak_log at 432,65,-251 (confidence 0.10)
2026-09-25 01:07:16.673 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:16.674 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [17] built() (remaining 101) -> dig oak_log at 432,65,-251 (conf 0.10): ok dug oak_log, picked up 1 items (12.3s)
2026-09-25 01:07:17.356 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 513ms, input=1137 -> dig oak_log at 428,65,-248 (confidence 0.46)
2026-09-25 01:07:31.178 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:31.179 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [18] built() (remaining 100) -> dig oak_log at 428,65,-248 (conf 0.46): ok dug oak_log, picked up 1 items (13.7s)
2026-09-25 01:07:31.880 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 545ms, input=1193 -> craft oak_planks x2 (confidence 0.56)
2026-09-25 01:07:32.149 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:32.149 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [19] built() (remaining 99) -> craft oak_planks x2 (conf 0.56): ok crafted 8 oak_planks (0.1s)
2026-09-25 01:07:32.494 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 217ms, input=1245 -> dig oak_log at 428,64,-248 (confidence 0.30)
2026-09-25 01:07:37.442 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:37.443 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [20] built() (remaining 97) -> dig oak_log at 428,64,-248 (conf 0.30): ok dug oak_log, picked up 1 items (4.8s)
2026-09-25 01:07:38.152 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 549ms, input=1244 -> craft oak_door x1 (confidence 0.25)
2026-09-25 01:07:43.284 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:43.284 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [21] built() (remaining 96) -> craft oak_door x1 (conf 0.25): ok crafted 3 oak_door (5.0s)
2026-09-25 01:07:44.038 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 593ms, input=1161 -> dig oak_log at 423,71,-253 (confidence 0.22)
2026-09-25 01:07:54.169 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:54.169 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [22] built() (remaining 95) -> dig oak_log at 423,71,-253 (conf 0.22): ok dug oak_log, picked up 1 items (10.0s)
2026-09-25 01:07:54.814 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 487ms, input=1179 -> place planks at 406,72,-272 (confidence 0.38)
2026-09-25 01:07:59.686 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:07:59.686 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [23] built() (remaining 94) -> place planks at 406,72,-272 (conf 0.38): ok placed planks (2/69) (4.7s)
2026-09-25 01:08:00.425 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 571ms, input=1172 -> place planks at 406,72,-271 (confidence 0.74)
2026-09-25 01:08:00.634 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:00.634 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [24] built() (remaining 93) -> place planks at 406,72,-271 (conf 0.74): ok placed planks (3/69) (0.0s)
2026-09-25 01:08:00.978 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 221ms, input=1108 -> dig oak_log at 410,72,-276 (confidence 0.64)
2026-09-25 01:08:10.774 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:10.774 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [25] built() (remaining 92) -> dig oak_log at 410,72,-276 (conf 0.64): ok dug oak_log, picked up 1 items (9.6s)
2026-09-25 01:08:11.503 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 555ms, input=1114 -> dig oak_log at 416,71,-275 (confidence 0.58)
2026-09-25 01:08:24.882 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:24.883 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [26] built() (remaining 91) -> dig oak_log at 416,71,-275 (conf 0.58): ok dug oak_log, picked up 2 items (13.2s)
2026-09-25 01:08:25.596 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 543ms, input=1123 -> dig oak_log at 417,71,-278 (confidence 0.31)
2026-09-25 01:08:30.647 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:30.647 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [27] built() (remaining 90) -> dig oak_log at 417,71,-278 (conf 0.31): ok dug oak_log, picked up 2 items (4.9s)
2026-09-25 01:08:31.363 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 547ms, input=1125 -> dig oak_log at 420,71,-279 (confidence 0.22)
2026-09-25 01:08:42.243 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:42.243 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [28] built() (remaining 89) -> dig oak_log at 420,71,-279 (conf 0.22): ok dug oak_log, picked up 1 items (10.7s)
2026-09-25 01:08:43.191 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 778ms, input=1128 -> dig oak_log at 421,71,-276 (confidence 0.64)
2026-09-25 01:08:47.788 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:47.788 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [29] built() (remaining 88) -> dig oak_log at 421,71,-276 (conf 0.64): ok dug oak_log, picked up 1 items (4.4s)
2026-09-25 01:08:48.161 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 206ms, input=1128 -> dig oak_log at 425,71,-275 (confidence 0.49)
2026-09-25 01:08:58.780 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:08:58.780 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [30] built() (remaining 87) -> dig oak_log at 425,71,-275 (conf 0.49): ok dug oak_log, picked up 1 items (10.5s)
2026-09-25 01:08:59.447 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 501ms, input=1127 -> dig oak_log at 427,71,-278 (confidence 0.53)
2026-09-25 01:09:09.832 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:09.832 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [31] built() (remaining 86) -> dig oak_log at 427,71,-278 (conf 0.53): ok dug oak_log, picked up 1 items (10.2s)
2026-09-25 01:09:10.523 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 519ms, input=1130 -> dig oak_log at 431,71,-277 (confidence 0.64)
2026-09-25 01:09:21.579 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:21.580 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [32] built() (remaining 85) -> dig oak_log at 431,71,-277 (conf 0.64): ok dug oak_log, picked up 1 items (10.9s)
2026-09-25 01:09:22.340 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 591ms, input=1129 -> dig oak_log at 437,71,-278 (confidence 0.26)
2026-09-25 01:09:29.086 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:29.086 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [33] built() (remaining 84) -> dig oak_log at 437,71,-278 (conf 0.26): ok dug oak_log, picked up 1 items (6.6s)
2026-09-25 01:09:29.777 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 525ms, input=1130 -> dig oak_log at 437,70,-278 (confidence 0.46)
2026-09-25 01:09:34.885 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:34.885 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [34] built() (remaining 83) -> dig oak_log at 437,70,-278 (conf 0.46): ok dug oak_log, picked up 1 items (4.9s)
2026-09-25 01:09:35.598 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 560ms, input=1127 -> dig oak_log at 440,70,-274 (confidence 0.22)
2026-09-25 01:09:40.971 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:40.971 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [35] built() (remaining 82) -> dig oak_log at 440,70,-274 (conf 0.22): ok dug oak_log, picked up 1 items (5.2s)
2026-09-25 01:09:41.650 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 515ms, input=1126 -> dig oak_log at 444,69,-272 (confidence 0.41)
2026-09-25 01:09:54.282 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:54.283 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [36] built() (remaining 81) -> dig oak_log at 444,69,-272 (conf 0.41): ok dug oak_log, picked up 1 items (12.5s)
2026-09-25 01:09:54.989 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 545ms, input=1021 -> craft oak_planks x14 (confidence 0.79)
2026-09-25 01:09:56.473 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:09:56.473 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [37] built() (remaining 80) -> craft oak_planks x14 (conf 0.79): ok crafted 56 oak_planks (1.3s)
2026-09-25 01:09:56.726 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 242ms, input=1020 -> place planks at 406,72,-270 (confidence 0.37)
2026-09-25 01:10:04.737 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:04.738 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [38] built() (remaining 66) -> place planks at 406,72,-270 (conf 0.37): ok placed planks (4/69) (8.0s)
2026-09-25 01:10:05.299 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 551ms, input=1014 -> place log at 406,72,-269 (confidence 0.86)
2026-09-25 01:10:05.334 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:05.334 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [39] built() (remaining 65) -> place log at 406,72,-269 (conf 0.86): ok placed log (5/69) (0.0s)
2026-09-25 01:10:05.635 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 289ms, input=1007 -> place planks at 407,72,-273 (confidence 0.78)
2026-09-25 01:10:05.940 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:05.941 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [40] built() (remaining 64) -> place planks at 407,72,-273 (conf 0.78): ok placed planks (6/69) (0.3s)
2026-09-25 01:10:08.748 | INFO     | ailoveshen.infrastructure.adapters.gemini.gemini_text_generator:_log_usage:205 - Gemini gemini-3.8-flash: 2791ms, prompt=744 thoughts=None output=38 total=782
2026-09-25 01:10:08.767 | INFO     | ailoveshen.application.use_cases.play:_decide_goal:381 - Goal: built() (goal built() ran for 40 steps) - 日暮れまでに安全を確保するため、残りの建築作業を継続して家を完成させる。; remaining 63
2026-09-25 01:10:08.767 | DEBUG    | ailoveshen.infrastructure.events:publish:61 - Publishing GoalSetEvent to 1 handler(s)
[goal] built(): 日暮れまでに安全を確保するため、残りの建築作業を継続して家を完成させる。
2026-09-25 01:10:08.977 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 199ms, input=1026 -> place planks at 407,72,-269 (confidence 0.51)
2026-09-25 01:10:09.041 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:09.041 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [41] built() (remaining 63) -> place planks at 407,72,-269 (conf 0.51): ok placed planks (7/69) (0.0s)
2026-09-25 01:10:09.302 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 254ms, input=1024 -> place planks at 408,72,-273 (confidence 0.60)
2026-09-25 01:10:09.335 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:09.335 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [42] built() (remaining 62) -> place planks at 408,72,-273 (conf 0.60): ok placed planks (8/69) (0.0s)
2026-09-25 01:10:09.602 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 256ms, input=1026 -> place planks at 409,72,-273 (confidence 0.66)
2026-09-25 01:10:09.632 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:09.632 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [43] built() (remaining 61) -> place planks at 409,72,-273 (conf 0.66): ok placed planks (9/69) (0.0s)
2026-09-25 01:10:09.852 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 210ms, input=1026 -> place planks at 409,72,-269 (confidence 0.69)
2026-09-25 01:10:09.882 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:09.882 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [44] built() (remaining 60) -> place planks at 409,72,-269 (conf 0.69): ok placed planks (10/69) (0.0s)
2026-09-25 01:10:10.126 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 233ms, input=1027 -> place log at 410,72,-273 (confidence 0.52)
2026-09-25 01:10:10.183 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:10.183 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [45] built() (remaining 59) -> place log at 410,72,-273 (conf 0.52): ok placed log (11/69) (0.0s)
2026-09-25 01:10:10.413 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 220ms, input=1027 -> place planks at 410,72,-272 (confidence 0.59)
2026-09-25 01:10:10.485 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:10.485 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [46] built() (remaining 58) -> place planks at 410,72,-272 (conf 0.59): ok placed planks (12/69) (0.1s)
2026-09-25 01:10:10.706 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 207ms, input=1031 -> place planks at 410,72,-271 (confidence 0.66)
2026-09-25 01:10:10.733 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:10.733 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [47] built() (remaining 57) -> place planks at 410,72,-271 (conf 0.66): ok placed planks (13/69) (0.0s)
2026-09-25 01:10:10.992 | INFO     | ailoveshen.infrastructure.adapters.jev.jev_action_selector:select:71 - Jev jev-1.13.0: 248ms, input=1031 -> place planks at 410,72,-270 (confidence 0.69)
2026-09-25 01:10:11.042 | DEBUG    | ailoveshen.infrastructure.events:publish:58 - No handlers registered for GameActionExecutedEvent
2026-09-25 01:10:11.042 | INFO     | ailoveshen.presentation.services.game_service:play:86 - [48] built() (remaining 56) -> place planks at 410,72,-270 (conf 0.69): ok placed planks (14/69) (0.0s)
